market_id,match_id,market_name,market_name_display,market_type_code,market_type_name,period_code,is_active,run_timestamp
0ML852250950696710167,852250949228748800,Cược trực tiếp 1x2,Cược trực tiếp 1x2,ML39,Cược trực tiếp 1x2,1,1,2026-06-14 21:15:59
0HC852250950696710168,852250949228748800,Cược trực tiếp Cược chấp Châu Á Handicap,Cược trực tiếp Cược chấp Châu Á Handicap,HC39,Cược trực tiếp Cược chấp Châu Á Handicap,1,1,2026-06-14 21:15:59
0OU852250950696710169,852250949228748800,Cược trực tiếp Tài/Xỉu,Cược trực tiếp Tài/Xỉu,OU39,Cược trực tiếp Tài/Xỉu,1,1,2026-06-14 21:15:59
0OU852599445102338073,852599443953037312,Cược trực tiếp Tài/Xỉu,Cược trực tiếp Tài/Xỉu,OU39,Cược trực tiếp Tài/Xỉu,1,1,2026-06-14 21:15:59
0HC852599445102338072,852599443953037312,Cược trực tiếp Cược chấp Châu Á Handicap,Cược trực tiếp Cược chấp Châu Á Handicap,HC39,Cược trực tiếp Cược chấp Châu Á Handicap,1,1,2026-06-14 21:15:59
0ML852599445102338071,852599443953037312,Cược trực tiếp 1x2,Cược trực tiếp 1x2,ML39,Cược trực tiếp 1x2,1,1,2026-06-14 21:15:59
0OU852436985938485284,852436985095512064,Cược trực tiếp Tài/Xỉu,Cược trực tiếp Tài/Xỉu,OU39,Cược trực tiếp Tài/Xỉu,1,1,2026-06-14 21:15:59
0ML852436985938485282,852436985095512064,Cược trực tiếp 1x2,Cược trực tiếp 1x2,ML39,Cược trực tiếp 1x2,1,1,2026-06-14 21:15:59
0HC852436985938485283,852436985095512064,Cược trực tiếp Cược chấp Châu Á Handicap,Cược trực tiếp Cược chấp Châu Á Handicap,HC39,Cược trực tiếp Cược chấp Châu Á Handicap,1,1,2026-06-14 21:15:59
0HC852604710698688547,852604710035955712,Cược trực tiếp Cược chấp Châu Á Handicap,Cược trực tiếp Cược chấp Châu Á Handicap,HC39,Cược trực tiếp Cược chấp Châu Á Handicap,1,1,2026-06-14 21:15:59
0OU852604710698688548,852604710035955712,Cược trực tiếp Tài/Xỉu,Cược trực tiếp Tài/Xỉu,OU39,Cược trực tiếp Tài/Xỉu,1,1,2026-06-14 21:15:59
0ML852604710698688546,852604710035955712,Cược trực tiếp 1x2,Cược trực tiếp 1x2,ML39,Cược trực tiếp 1x2,1,1,2026-06-14 21:15:59
0ML853309365191761954,853309364415770624,Cược trực tiếp 1x2,Cược trực tiếp 1x2,ML39,Cược trực tiếp 1x2,1,1,2026-06-14 21:15:59
0OU853309365191761956,853309364415770624,Cược trực tiếp Tài/Xỉu,Cược trực tiếp Tài/Xỉu,OU39,Cược trực tiếp Tài/Xỉu,1,1,2026-06-14 21:15:59
0HC853309365191761955,853309364415770624,Cược trực tiếp Cược chấp Châu Á Handicap,Cược trực tiếp Cược chấp Châu Á Handicap,HC39,Cược trực tiếp Cược chấp Châu Á Handicap,1,1,2026-06-14 21:15:59
0ML852785002684211254,852785001736298496,Cược trực tiếp 1x2,Cược trực tiếp 1x2,ML39,Cược trực tiếp 1x2,1,1,2026-06-14 21:15:59
