outcome_id,market_id,match_id,label_short,label_full,display_label,is_highlighted,decimal_odds,american_odds,fractional_odds,malay_odds,indo_odds,hk_odds,outcome_type_code,sort_order,line_value,min_bet,max_bet,run_timestamp
0ML852250950696710167D,0ML852250950696710167,852250949228748800,Hoà,Hoà,Hoà,0,2.0,100,1/1,1.00,1.00,1.00,1,2,,0.1,2400,2026-06-14 21:15:59
0ML852250950696710167H,0ML852250950696710167,852250949228748800,Ljungskile SK,Ljungskile SK,Home,0,3.09,209,21/10,2.09,2.09,-0.478,1,1,,0.1,2400,2026-06-14 21:15:59
0ML852250950696710167A,0ML852250950696710167,852250949228748800,Ostersunds FK,Ostersunds FK,Away,0,3.99,299,3/1,2.99,2.99,-0.334,1,3,,0.1,2400,2026-06-14 21:15:59
0HC852250950696710168HMM,0HC852250950696710168,852250949228748800,Ljungskile SK,Ljungskile SK 0,Home,0,1.69,-145,69/100,0.69,-1.45,0.69,2,1,0.0,0.1,2400,2026-06-14 21:15:59
0HC852250950696710168AMM,0HC852250950696710168,852250949228748800,Ostersunds FK,Ostersunds FK 0,Away,0,2.23,123,16/13,1.23,1.23,-0.81,2,3,0.0,0.1,2400,2026-06-14 21:15:59
0HC852250950696710168HM25,0HC852250950696710168,852250949228748800,Ljungskile SK,Ljungskile SK -0.25,Home,1,2.43,143,20/14,1.43,1.43,-0.70,2,1,-0.25,0.1,2400,2026-06-14 21:15:59
0HC852250950696710168AP25,0HC852250950696710168,852250949228748800,Ostersunds FK,Ostersunds FK +0.25,Away,1,1.58,-172,29/50,0.58,-1.72,0.58,2,3,0.25,0.1,2400,2026-06-14 21:15:59
0HC852250950696710168HM50,0HC852250950696710168,852250949228748800,Ljungskile SK,Ljungskile SK -0.5,Home,1,3.04,204,41/20,2.04,2.04,-0.49,2,1,-0.5,0.1,2400,2026-06-14 21:15:59
0HC852250950696710168AP50,0HC852250950696710168,852250949228748800,Ostersunds FK,Ostersunds FK +0.5,Away,1,1.37,-270,37/100,0.37,-2.70,0.37,2,3,0.5,0.1,2400,2026-06-14 21:15:59
0OU852250950696710169OM25,0OU852250950696710169,852250949228748800,Tài,Tài 0.5,Tài,1,1.54,-185,27/50,0.54,-1.85,0.54,3,1,0.5,0.1,1800,2026-06-14 21:15:59
0OU852250950696710169UM25,0OU852250950696710169,852250949228748800,Xỉu,Xỉu 0.5,Xỉu,1,2.47,147,22/15,1.47,1.47,-0.68,3,3,0.5,0.1,1800,2026-06-14 21:15:59
0OU852250950696710169OMM,0OU852250950696710169,852250949228748800,Tài,Tài 0.75,Tài,0,1.78,-128,39/50,0.78,-1.28,0.78,3,1,0.75,0.1,1800,2026-06-14 21:15:59
0OU852250950696710169UMM,0OU852250950696710169,852250949228748800,Xỉu,Xỉu 0.75,Xỉu,0,2.09,109,12/11,1.09,1.09,-0.92,3,3,0.75,0.1,1800,2026-06-14 21:15:59
0OU852250950696710169OP25,0OU852250950696710169,852250949228748800,Tài,Tài 1,Tài,1,2.33,133,4/3,1.33,1.33,-0.75,3,1,1.0,0.1,1800,2026-06-14 21:15:59
0OU852250950696710169UP25,0OU852250950696710169,852250949228748800,Xỉu,Xỉu 1,Xỉu,1,1.61,-164,61/100,0.61,-1.64,0.61,3,3,1.0,0.1,1800,2026-06-14 21:15:59
0OU852599445102338073OM25,0OU852599445102338073,852599443953037312,Tài,Tài 1.75,Tài,1,1.45,-222,9/20,0.45,-2.22,0.45,3,1,1.75,0.1,1800,2026-06-14 21:15:59
0OU852599445102338073UM25,0OU852599445102338073,852599443953037312,Xỉu,Xỉu 1.75,Xỉu,1,2.69,169,22/13,1.69,1.69,-0.59,3,3,1.75,0.1,1800,2026-06-14 21:15:59
0OU852599445102338073OMM,0OU852599445102338073,852599443953037312,Tài,Tài 2,Tài,0,1.75,-133,3/4,0.75,-1.33,0.75,3,1,2.0,0.1,1800,2026-06-14 21:15:59
0OU852599445102338073UMM,0OU852599445102338073,852599443953037312,Xỉu,Xỉu 2,Xỉu,0,2.12,112,9/8,1.12,1.12,-0.89,3,3,2.0,0.1,1800,2026-06-14 21:15:59
0OU852599445102338073OP25,0OU852599445102338073,852599443953037312,Tài,Tài 2.25,Tài,1,2.19,119,19/16,1.19,1.19,-0.84,3,1,2.25,0.1,1800,2026-06-14 21:15:59
0OU852599445102338073UP25,0OU852599445102338073,852599443953037312,Xỉu,Xỉu 2.25,Xỉu,1,1.7,-143,7/10,0.70,-1.43,0.70,3,3,2.25,0.1,1800,2026-06-14 21:15:59
0HC852599445102338072HMM,0HC852599445102338072,852599443953037312,Falkenbergs,Falkenbergs -0.25,Home,0,1.95,-105,19/20,0.95,-1.05,0.95,2,1,-0.25,0.1,2400,2026-06-14 21:15:59
0HC852599445102338072AMM,0HC852599445102338072,852599443953037312,Orebro SK,Orebro SK +0.25,Away,0,1.93,-108,93/100,0.93,-1.08,0.93,2,3,0.25,0.1,2400,2026-06-14 21:15:59
0HC852599445102338072HM25,0HC852599445102338072,852599443953037312,Falkenbergs,Falkenbergs -0.5,Home,1,2.37,137,11/8,1.37,1.37,-0.73,2,1,-0.5,0.1,2400,2026-06-14 21:15:59
0HC852599445102338072AP25,0HC852599445102338072,852599443953037312,Orebro SK,Orebro SK +0.5,Away,1,1.61,-164,61/100,0.61,-1.64,0.61,2,3,0.5,0.1,2400,2026-06-14 21:15:59
0HC852599445102338072HP25,0HC852599445102338072,852599443953037312,Falkenbergs,Falkenbergs 0,Home,1,1.44,-227,11/25,0.44,-2.27,0.44,2,1,0.0,0.1,2400,2026-06-14 21:15:59
0HC852599445102338072AM25,0HC852599445102338072,852599443953037312,Orebro SK,Orebro SK 0,Away,1,2.79,179,25/14,1.79,1.79,-0.56,2,3,0.0,0.1,2400,2026-06-14 21:15:59
0ML852599445102338071D,0ML852599445102338071,852599443953037312,Hoà,Hoà,Hoà,0,3.41,241,12/5,2.41,2.41,-0.415,1,2,,0.1,2400,2026-06-14 21:15:59
0ML852599445102338071H,0ML852599445102338071,852599443953037312,Falkenbergs,Falkenbergs,Home,0,6.9,590,59/10,5.90,5.90,-0.169,1,1,,0.1,2400,2026-06-14 21:15:59
0ML852599445102338071A,0ML852599445102338071,852599443953037312,Orebro SK,Orebro SK,Away,0,1.56,-179,14/25,0.56,-1.79,0.56,1,3,,0.1,2400,2026-06-14 21:15:59
0OU852436985938485284OMM,0OU852436985938485284,852436985095512064,Tài,Tài 2.5,Tài,0,1.82,-122,9/11,0.82,-1.22,0.82,3,1,2.5,0.1,800,2026-06-14 21:15:59
0OU852436985938485284UMM,0OU852436985938485284,852436985095512064,Xỉu,Xỉu 2.5,Xỉu,0,1.96,-104,24/25,0.96,-1.04,0.96,3,3,2.5,0.1,800,2026-06-14 21:15:59
0OU852436985938485284OP25,0OU852436985938485284,852436985095512064,Tài,Tài 2.75,Tài,1,2.04,104,26/25,1.04,1.04,-0.96,3,1,2.75,0.1,800,2026-06-14 21:15:59
0OU852436985938485284UP25,0OU852436985938485284,852436985095512064,Xỉu,Xỉu 2.75,Xỉu,1,1.74,-135,37/50,0.74,-1.35,0.74,3,3,2.75,0.1,800,2026-06-14 21:15:59
0ML852436985938485282D,0ML852436985938485282,852436985095512064,Hoà,Hoà,Hoà,0,3.39,239,12/5,2.39,2.39,-0.418,1,2,,0.1,800,2026-06-14 21:15:59
0ML852436985938485282H,0ML852436985938485282,852436985095512064,Helges IF,Helges IF,Home,0,2.84,184,35/19,1.84,1.84,-0.543,1,1,,0.1,800,2026-06-14 21:15:59
